Year,Agency Type,Agency Name,Total Hate Crime Cases Referred,Total Cases Filed as Hate Crimes,Total Cases Filed as Non-Bias Motivated Crimes,Total Dispositions,Not Convicted,Total Convictions,Total Hate Crime Convictions,Guilty plea/Nolo contendere,Trial Verdict,All Other Convictions
2004,County DA,Alameda,2,2,0,2,1,1,1,1,0,0
2004,County DA,Alpine,0,0,0,0,0,0,0,0,0,0
2004,County DA,Amador,1,1,0,1,0,1,0,0,0,1
2004,County DA,Butte,8,8,2,7,1,6,2,1,1,4
2004,County DA,Calaveras,0,0,0,0,0,0,0,0,0,0
2004,County DA,Colusa,0,0,0,0,0,0,0,0,0,0
2004,County DA,Contra Costa,4,3,2,2,0,2,1,0,1,1
2004,County DA,Del Norte,4,0,4,0,0,0,0,0,0,0
2004,County DA,El Dorado,1,1,0,1,0,1,1,1,0,0
2004,County DA,Fresno,5,5,1,7,3,4,2,1,1,2
2004,County DA,Glenn,3,3,0,6,0,6,3,3,0,3
2004,County DA,Humboldt,3,0,1,0,0,0,0,0,0,0
2004,County DA,Imperial,0,0,0,0,0,0,0,0,0,0
2004,County DA,Inyo,0,0,0,0,0,0,0,0,0,0
2004,County DA,Kern,0,15,0,15,1,14,6,6,0,8
2004,County DA,Kings,0,0,0,0,0,0,0,0,0,0
2004,County DA,Lake,0,0,0,0,0,0,0,0,0,0
2004,County DA,Lassen,0,0,0,0,0,0,0,0,0,0
2004,County DA,Los Angeles,151,89,54,97,14,83,49,25,24,34
2004,County DA,Madera,0,0,0,0,0,0,0,0,0,0
2004,County DA,Marin,2,2,0,2,0,2,0,0,0,2
2004,County DA,Mariposa,0,0,0,0,0,0,0,0,0,0
2004,County DA,Mendocino,1,1,0,2,0,2,1,1,0,1
2004,County DA,Merced,0,0,0,0,0,0,0,0,0,0
2004,County DA,Modoc,0,0,0,0,0,0,0,0,0,0
2004,County DA,Mono,0,0,0,0,0,0,0,0,0,0
2004,County DA,Monterey,4,3,1,5,0,5,1,1,0,4
2004,County DA,Napa,1,1,0,0,0,0,0,0,0,0
2004,County DA,Nevada,1,0,1,0,0,0,0,0,0,0
2004,County DA,Orange,10,6,1,13,1,12,6,6,0,6
2004,County DA,Placer,0,0,0,0,0,0,0,0,0,0
2004,County DA,Plumas,1,0,1,0,0,0,0,0,0,0
2004,County DA,Riverside,43,33,7,35,3,32,20,18,2,12
2004,County DA,Sacramento,9,7,0,3,0,3,2,2,0,1
2004,County DA,San Benito,0,0,0,0,0,0,0,0,0,0
2004,County DA,San Bernardino,13,11,0,6,0,6,1,1,0,5
2004,County DA,San Diego,22,16,3,16,0,16,16,14,2,0
2004,County DA,San Francisco,19,7,2,2,0,2,2,2,0,0
2004,County DA,San Joaquin,0,0,0,0,0,0,0,0,0,0
2004,County DA,San Luis Obispo,2,2,0,2,2,0,0,0,0,0
2004,County DA,San Mateo,5,4,0,4,2,2,2,2,0,0
2004,County DA,Santa Barbara,7,6,1,4,1,3,2,2,0,1
2004,County DA,Santa Clara,16,8,4,8,1,7,3,3,0,4
2004,County DA,Santa Cruz,5,1,1,1,0,1,0,0,0,1
2004,County DA,Shasta,16,10,4,9,4,5,5,5,0,0
2004,County DA,Sierra,0,0,0,0,0,0,0,0,0,0
2004,County DA,Siskiyou,0,0,0,0,0,0,0,0,0,0
2004,County DA,Solano,0,0,0,0,0,0,0,0,0,0
2004,County DA,Sonoma,0,0,0,0,0,0,0,0,0,0
2004,County DA,Stanislaus,0,0,0,0,0,0,0,0,0,0
2004,County DA,Sutter,0,0,0,0,0,0,0,0,0,0
2004,County DA,Tehama,0,0,0,0,0,0,0,0,0,0
2004,County DA,Trinity,0,0,0,0,0,0,0,0,0,0
2004,County DA,Tulare,3,3,0,3,2,1,0,0,0,1
2004,County DA,Tuolumne,2,2,0,2,0,2,2,2,0,0
2004,County DA,Ventura,7,7,0,4,0,4,4,3,1,0
2004,County DA,Yolo,6,6,0,6,0,6,1,1,0,5
2004,County DA,Yuba,0,0,0,0,0,0,0,0,0,0
2004,Elected City Attorney,Anaheim,0,0,0,0,0,0,0,0,0,0
2004,Elected City Attorney,Burbank,0,0,0,0,0,0,0,0,0,0
2004,Elected City Attorney,Inglewood,0,0,0,0,0,0,0,0,0,0
2004,Elected City Attorney,Long Beach,3,3,0,3,0,3,1,1,0,2
2004,Elected City Attorney,Los Angeles,12,5,2,5,0,5,4,4,0,1
2004,Elected City Attorney,Pasadena,0,0,0,0,0,0,0,0,0,0
2004,Elected City Attorney,San Diego,14,5,2,5,0,5,1,1,0,4
2004,Elected City Attorney,Torrance,1,1,0,0,0,0,0,0,0,0
2005,County DA,Alameda,8,8,0,0,0,0,0,0,0,0
2005,County DA,Alpine,0,0,0,0,0,0,0,0,0,0
2005,County DA,Amador,0,0,0,0,0,0,0,0,0,0
2005,County DA,Butte,5,3,2,2,0,2,1,1,0,1
2005,County DA,Calaveras,0,0,0,0,0,0,0,0,0,0
2005,County DA,Colusa,0,0,0,0,0,0,0,0,0,0
2005,County DA,Contra Costa,7,9,1,6,0,6,1,1,0,5
2005,County DA,Del Norte,0,0,0,0,0,0,0,0,0,0
2005,County DA,El Dorado,3,2,1,2,1,1,1,1,0,0
2005,County DA,Fresno,14,11,0,8,1,7,0,0,0,7
2005,County DA,Glenn,0,0,0,0,0,0,0,0,0,0
2005,County DA,Humboldt,0,0,0,0,0,0,0,0,0,0
2005,County DA,Imperial,0,0,0,0,0,0,0,0,0,0
2005,County DA,Inyo,0,0,0,0,0,0,0,0,0,0
2005,County DA,Kern,0,6,0,6,0,6,1,1,0,5
2005,County DA,Kings,0,0,0,0,0,0,0,0,0,0
2005,County DA,Lake,0,0,0,0,0,0,0,0,0,0
2005,County DA,Lassen,0,0,0,0,0,0,0,0,0,0
2005,County DA,Los Angeles,147,117,21,108,23,85,40,17,23,45
2005,County DA,Madera,0,0,0,0,0,0,0,0,0,0
2005,County DA,Marin,5,1,2,1,0,1,0,0,0,1
2005,County DA,Mariposa,0,0,0,0,0,0,0,0,0,0
2005,County DA,Mendocino,2,1,0,0,0,0,0,0,0,0
2005,County DA,Merced,3,1,2,1,0,1,1,1,0,0
2005,County DA,Modoc,0,0,0,0,0,0,0,0,0,0
2005,County DA,Mono,0,0,0,0,0,0,0,0,0,0
2005,County DA,Monterey,6,6,0,5,0,5,4,4,0,1
2005,County DA,Napa,2,1,0,0,0,0,0,0,0,0
2005,County DA,Nevada,3,3,0,2,0,2,2,2,0,0
2005,County DA,Orange,20,18,0,14,2,12,10,10,0,2
2005,County DA,Placer,1,0,1,0,0,0,0,0,0,0
2005,County DA,Plumas,0,0,0,0,0,0,0,0,0,0
2005,County DA,Riverside,29,13,8,21,0,21,13,12,1,8
2005,County DA,Sacramento,11,9,0,7,0,7,7,7,0,0
2005,County DA,San Benito,0,0,0,0,0,0,0,0,0,0
2005,County DA,San Bernardino,9,9,0,4,0,4,1,1,0,3
2005,County DA,San Diego,24,18,1,18,0,18,16,16,0,2
2005,County DA,San Francisco,26,16,2,10,0,10,7,7,0,3
2005,County DA,San Joaquin,6,6,0,6,2,4,2,2,0,2
2005,County DA,San Luis Obispo,5,2,1,1,1,0,0,0,0,0
2005,County DA,San Mateo,6,5,0,3,2,1,0,0,0,1
2005,County DA,Santa Barbara,0,0,0,0,0,0,0,0,0,0
2005,County DA,Santa Clara,17,9,6,6,0,6,6,6,0,0
2005,County DA,Santa Cruz,1,1,0,1,0,1,1,1,0,0
2005,County DA,Shasta,7,5,0,4,0,4,0,0,0,4
2005,County DA,Sierra,0,0,0,0,0,0,0,0,0,0
2005,County DA,Siskiyou,0,0,0,0,0,0,0,0,0,0
2005,County DA,Solano,4,4,4,1,0,1,0,0,0,1
2005,County DA,Sonoma,5,5,0,4,3,1,1,1,0,0
2005,County DA,Stanislaus,1,1,0,1,0,1,1,1,0,0
2005,County DA,Sutter,0,0,0,0,0,0,0,0,0,0
2005,County DA,Tehama,0,0,0,0,0,0,0,0,0,0
2005,County DA,Trinity,0,0,0,0,0,0,0,0,0,0
2005,County DA,Tulare,3,3,0,1,1,0,0,0,0,0
2005,County DA,Tuolumne,1,1,0,3,0,3,3,3,0,0
2005,County DA,Ventura,7,7,0,4,0,4,4,4,0,0
2005,County DA,Yolo,6,6,0,7,0,7,4,4,0,3
2005,County DA,Yuba,8,8,0,6,0,6,4,3,1,2
2005,Elected City Attorney,Anaheim,0,0,0,0,0,0,0,0,0,0
2005,Elected City Attorney,Burbank,1,1,0,1,0,1,1,1,0,0
2005,Elected City Attorney,Inglewood,0,0,0,0,0,0,0,0,0,0
2005,Elected City Attorney,Long Beach,0,0,0,0,0,0,0,0,0,0
2005,Elected City Attorney,Los Angeles,19,5,6,3,0,3,2,2,0,1
2005,Elected City Attorney,Pasadena,0,0,0,0,0,0,0,0,0,0
2005,Elected City Attorney,San Diego,25,8,8,5,0,5,2,2,0,3
2005,Elected City Attorney,Torrance,1,1,0,2,0,2,1,1,0,1
2006,County DA,Alameda,4,4,0,5,0,5,5,5,0,0
2006,County DA,Alpine,0,0,0,0,0,0,0,0,0,0
2006,County DA,Amador,0,0,0,0,0,0,0,0,0,0
2006,County DA,Butte,1,4,0,3,0,3,1,1,0,2
2006,County DA,Calaveras,0,0,0,0,0,0,0,0,0,0
2006,County DA,Colusa,0,0,0,0,0,0,0,0,0,0
2006,County DA,Contra Costa,0,6,0,9,2,7,1,1,0,6
2006,County DA,Del Norte,4,3,1,4,0,4,3,3,0,1
2006,County DA,El Dorado,0,0,0,0,0,0,0,0,0,0
2006,County DA,Fresno,2,2,0,2,0,2,1,0,1,1
2006,County DA,Glenn,0,0,0,0,0,0,0,0,0,0
2006,County DA,Humboldt,4,2,2,2,1,1,1,1,0,0
2006,County DA,Imperial,0,0,0,0,0,0,0,0,0,0
2006,County DA,Inyo,0,0,0,0,0,0,0,0,0,0
2006,County DA,Kern,0,6,0,4,0,4,0,0,0,4
2006,County DA,Kings,0,0,0,0,0,0,0,0,0,0
2006,County DA,Lake,0,0,0,0,0,0,0,0,0,0
2006,County DA,Lassen,0,0,0,0,0,0,0,0,0,0
2006,County DA,Los Angeles,145,106,23,117,17,100,71,39,32,29
2006,County DA,Madera,1,1,0,0,0,0,0,0,0,0
2006,County DA,Marin,3,0,1,0,0,0,0,0,0,0
2006,County DA,Mariposa,0,0,0,0,0,0,0,0,0,0
2006,County DA,Mendocino,10,6,4,6,1,5,1,1,0,4
2006,County DA,Merced,0,0,0,0,0,0,0,0,0,0
2006,County DA,Modoc,0,0,0,0,0,0,0,0,0,0
2006,County DA,Mono,1,1,0,0,0,0,0,0,0,0
2006,County DA,Monterey,1,1,0,2,0,2,1,1,0,1
2006,County DA,Napa,0,0,0,0,0,0,0,0,0,0
2006,County DA,Nevada,2,0,2,0,0,0,0,0,0,0
2006,County DA,Orange,16,14,0,12,0,12,11,10,1,1
2006,County DA,Placer,0,0,0,0,0,0,0,0,0,0
2006,County DA,Plumas,0,1,1,0,0,0,0,0,0,0
2006,County DA,Riverside,10,8,2,7,0,7,3,2,1,4
2006,County DA,Sacramento,6,3,0,2,0,2,2,2,0,0
2006,County DA,San Benito,0,0,0,0,0,0,0,0,0,0
2006,County DA,San Bernardino,6,6,0,2,1,1,0,0,0,1
2006,County DA,San Diego,13,9,1,7,0,7,5,5,0,2
2006,County DA,San Francisco,26,9,7,11,2,9,5,5,0,4
2006,County DA,San Joaquin,2,2,0,1,0,1,1,1,0,0
2006,County DA,San Luis Obispo,7,6,1,5,4,1,1,1,0,0
2006,County DA,San Mateo,8,7,0,3,0,3,0,0,0,3
2006,County DA,Santa Barbara,2,0,1,1,0,1,0,0,0,1
2006,County DA,Santa Clara,19,11,7,5,0,5,5,5,0,0
2006,County DA,Santa Cruz,6,3,1,3,0,3,2,2,0,1
2006,County DA,Shasta,5,13,2,9,1,8,4,4,0,4
2006,County DA,Sierra,0,0,0,0,0,0,0,0,0,0
2006,County DA,Siskiyou,0,0,0,0,0,0,0,0,0,0
2006,County DA,Solano,1,1,0,0,0,0,0,0,0,0
2006,County DA,Sonoma,6,5,0,4,0,4,4,4,0,0
2006,County DA,Stanislaus,2,2,0,2,0,2,0,0,0,2
2006,County DA,Sutter,0,0,0,0,0,0,0,0,0,0
2006,County DA,Tehama,0,0,0,0,0,0,0,0,0,0
2006,County DA,Trinity,0,0,0,0,0,0,0,0,0,0
2006,County DA,Tulare,1,2,0,1,0,1,0,0,0,1
2006,County DA,Tuolumne,1,0,0,0,0,0,0,0,0,0
2006,County DA,Ventura,12,11,1,8,1,7,6,3,3,1
2006,County DA,Yolo,3,2,1,3,1,2,1,1,0,1
2006,County DA,Yuba,7,5,0,5,0,5,1,1,0,4
2006,Elected City Attorney,Anaheim,0,0,0,0,0,0,0,0,0,0
2006,Elected City Attorney,Burbank,0,0,0,0,0,0,0,0,0,0
2006,Elected City Attorney,Inglewood,0,0,0,0,0,0,0,0,0,0
2006,Elected City Attorney,Long Beach,2,2,0,0,0,0,0,0,0,0
2006,Elected City Attorney,Los Angeles,12,4,2,2,0,2,2,2,0,0
2006,Elected City Attorney,Pasadena,0,0,0,0,0,0,0,0,0,0
2006,Elected City Attorney,San Diego,12,4,2,2,0,2,2,2,0,0
2006,Elected City Attorney,Torrance,0,0,0,0,0,0,0,0,0,0
2007,County DA,Alameda,4,4,0,6,3,3,0,0,0,3
2007,County DA,Alpine,0,0,0,0,0,0,0,0,0,0
2007,County DA,Amador,1,1,0,1,0,1,1,1,0,0
2007,County DA,Butte,4,0,2,0,0,0,0,0,0,0
2007,County DA,Calaveras,2,2,0,2,0,2,0,0,0,2
2007,County DA,Colusa,0,0,0,0,0,0,0,0,0,0
2007,County DA,Contra Costa,1,0,0,2,0,2,1,1,0,1
2007,County DA,Del Norte,2,2,2,3,0,3,1,1,0,2
2007,County DA,El Dorado,2,2,0,3,1,2,1,1,0,1
2007,County DA,Fresno,3,5,1,3,0,3,0,0,0,3
2007,County DA,Glenn,1,1,0,1,0,1,1,1,0,0
2007,County DA,Humboldt,2,1,0,1,0,1,0,0,0,1
2007,County DA,Imperial,0,0,0,0,0,0,0,0,0,0
2007,County DA,Inyo,0,0,0,0,0,0,0,0,0,0
2007,County DA,Kern,0,7,0,5,1,4,0,0,0,4
2007,County DA,Kings,2,0,1,0,0,0,0,0,0,0
2007,County DA,Lake,0,0,0,0,0,0,0,0,0,0
2007,County DA,Lassen,1,0,0,0,0,0,0,0,0,0
2007,County DA,Los Angeles,179,148,21,87,16,71,48,23,25,23
2007,County DA,Madera,2,2,0,2,0,2,1,1,0,1
2007,County DA,Marin,1,0,1,0,0,0,0,0,0,0
2007,County DA,Mariposa,0,0,0,0,0,0,0,0,0,0
2007,County DA,Mendocino,4,4,0,2,0,2,1,1,0,1
2007,County DA,Merced,0,0,0,0,0,0,0,0,0,0
2007,County DA,Modoc,0,0,0,0,0,0,0,0,0,0
2007,County DA,Mono,1,0,0,1,0,1,0,0,0,1
2007,County DA,Monterey,5,5,0,2,0,2,0,0,0,2
2007,County DA,Napa,1,1,0,0,0,0,0,0,0,0
2007,County DA,Nevada,1,0,0,0,0,0,0,0,0,0
2007,County DA,Orange,22,17,2,17,1,16,12,12,0,4
2007,County DA,Placer,1,0,0,0,0,0,0,0,0,0
2007,County DA,Plumas,0,0,0,0,0,0,0,0,0,0
2007,County DA,Riverside,33,10,13,8,0,8,1,1,0,7
2007,County DA,Sacramento,9,7,0,1,0,1,0,0,0,1
2007,County DA,San Benito,0,0,0,0,0,0,0,0,0,0
2007,County DA,San Bernardino,10,10,0,9,0,9,2,2,0,7
2007,County DA,San Diego,15,14,0,14,0,14,8,8,0,6
2007,County DA,San Francisco,7,7,2,7,1,6,3,3,0,3
2007,County DA,San Joaquin,4,4,0,2,0,2,1,1,0,1
