Agency Name,Total Hate Crime Cases Referred,Total Cases Filed as Hate Crimes,Total Cases Filed as Non-Bias Motivated Crimes,Total Dispositions,Not Convicted,Total Convictions,Total Hate Crime Convictions,Guilty plea/Nolo contendere,Trial Verdict,All Other Convictions
  Chula Vista,0,0,0,0,0,0,0,0,0,0
  Compton,0,0,0,0,0,0,0,0,0,0
  Huntington Beach,0,0,0,0,0,0,0,0,0,0
  Long Beach,5,5,0,5,0,5,4,4,0,1
  Los Angeles,89,9,35,4,0,4,2,1,1,2
  Oakland,0,0,0,0,0,0,0,0,0,0
  Redondo Beach,1,1,0,0,0,0,0,0,0,0
  San Bernardino,0,0,0,0,0,0,0,0,0,0
  San Diego,20,5,3,3,0,3,3,3,0,0
  San Francisco,0,0,0,0,0,0,0,0,0,0
  San Rafael,6,5,0,0,0,0,0,0,0,0
Alameda,167,116,2,86,11,75,24,24,0,51
Alpine,0,0,0,0,0,0,0,0,0,0
Amador,5,5,0,4,0,4,2,2,0,2
Anaheim,3,2,1,3,0,3,1,1,0,2
Burbank,7,7,0,5,0,5,2,2,0,3
Butte,61,34,19,21,2,19,10,9,1,9
Calaveras,4,4,0,4,1,3,0,0,0,3
Chula Vista,0,0,0,0,0,0,0,0,0,0
Colusa,0,0,0,0,0,0,0,0,0,0
Compton,0,0,0,0,0,0,0,0,0,0
Contra Costa,77,75,11,70,23,47,14,13,1,33
ContraCosta,8,5,1,5,2,3,1,1,0,2
Del Norte,11,5,7,7,0,7,4,4,0,3
DelNorte,0,0,0,0,0,0,0,0,0,0
El Dorado,23,8,8,13,4,9,5,5,0,4
ElDorado,1,0,0,0,0,0,0,0,0,0
Fresno,56,51,10,39,5,34,16,13,3,18
Glenn,7,7,0,10,0,10,5,5,0,5
Humboldt,48,23,7,10,1,9,4,4,0,5
Huntington Beach,0,0,0,0,0,0,0,0,0,0
Imperial,3,1,0,2,0,2,2,2,0,0
Inglewood,0,0,0,0,0,0,0,0,0,0
Inyo,11,8,2,12,0,12,4,4,0,8
Kern,43,77,7,64,3,61,19,19,0,42
Kings,23,14,7,15,0,15,11,11,0,4
Lake,18,13,7,8,3,5,2,2,0,3
Lassen,5,0,3,3,0,3,0,0,0,3
Long Beach,22,22,2,17,0,17,6,6,0,11
Los Angeles,2165,1373,244,976,146,830,470,282,188,360
LosAngeles,64,62,0,62,2,60,17,16,1,43
Madera,7,6,1,4,1,3,2,2,0,1
Marin,36,21,13,14,3,11,4,2,2,7
Mariposa,2,1,0,0,0,0,0,0,0,0
Mendocino,53,35,6,28,4,24,9,9,0,15
Merced,8,3,4,3,1,2,1,1,0,1
Modoc,0,0,0,0,0,0,0,0,0,0
Mono,2,1,0,1,0,1,0,0,0,1
Monterey,64,42,14,37,1,36,20,19,1,16
Napa,12,5,3,3,1,2,1,1,0,1
Nevada,12,7,3,2,0,2,2,2,0,0
Oakland,0,0,0,0,0,0,0,0,0,0
Orange,371,195,73,191,8,183,152,147,5,31
Pasadena,0,0,0,0,0,0,0,0,0,0
Placer,37,14,10,9,0,9,3,3,0,6
Plumas,2,2,2,0,0,0,0,0,0,0
Redondo Beach,4,2,1,4,1,3,1,1,0,2
Riverside,335,176,103,179,4,175,94,83,11,81
Sacramento,141,74,26,52,1,51,30,28,2,21
San Benito,0,0,0,0,0,0,0,0,0,0
San Bernardino,116,98,7,79,7,72,14,14,0,58
San Diego,573,327,91,283,5,278,153,147,6,125
San Francisco,379,219,55,135,19,116,71,62,9,45
San Joaquin,56,48,3,32,3,29,13,12,1,16
San Luis Obispo,69,52,11,28,11,17,13,13,0,4
San Mateo,72,48,1,33,5,28,14,13,1,14
San Rafael,1,1,0,0,0,0,0,0,0,0
SanBenito,0,0,0,0,0,0,0,0,0,0
SanBernardino,2,0,0,0,0,0,0,0,0,0
SanDiego,66,30,16,21,1,20,13,13,0,7
SanFrancisco,24,16,2,6,1,5,5,4,1,0
SanJoaquin,4,4,0,1,0,1,1,1,0,0
SanLuisObispo,8,3,6,3,0,3,1,1,0,2
SanMateo,3,2,0,2,0,2,2,2,0,0
Santa Barbara,44,20,15,14,1,13,8,8,0,5
Santa Clara,258,125,63,68,3,65,46,45,1,19
Santa Cruz,88,41,26,38,6,32,16,16,0,16
SantaBarbara,7,3,1,0,0,0,0,0,0,0
SantaClara,16,2,11,2,0,2,2,2,0,0
SantaCruz,6,6,2,6,0,6,3,3,0,3
Shasta,123,91,27,68,15,53,22,22,0,31
Sierra,0,0,0,0,0,0,0,0,0,0
Siskiyou,6,6,0,4,2,2,1,1,0,1
Solano,23,20,4,10,3,7,4,4,0,3
Sonoma,46,29,8,30,6,24,12,12,0,12
Stanislaus,23,16,2,15,1,14,4,4,0,10
Sutter,5,3,1,4,0,4,1,1,0,3
Tehama,11,9,1,5,1,4,1,1,0,3
Torrance,12,12,1,7,0,7,1,1,0,6
Trinity,0,0,0,0,0,0,0,0,0,0
Tulare,37,27,3,20,4,16,8,7,1,8
Tuolumne,7,4,0,6,0,6,5,5,0,1
Ventura,179,117,36,70,4,66,56,45,11,10
Yolo,89,48,24,44,7,37,19,18,1,18
Yuba,45,37,2,25,1,24,10,9,1,14
