,RecordId,ClosedYear,MonthOccurrence,County,NCIC,TotalNumberOfVictims,TotalNumberOfIndividualVictims,SuspectsRaceAsAGroup,TotalNumberOfSuspects,MostSeriousUcr,MostSeriousUcrType,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType,MostSeriousVictimType,WeaponType,Offensive_Act,label
5411,CA00-0000015217,2004,2,Alameda,Alameda Co. Sheriff's Department,2,2,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Daubing of swastika,4.0
5412,CA00-0000015122,2004,3,Alameda,Alameda,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,None,Threatening letters/flyers/email,4.0
5413,CA00-0000015123,2004,3,Alameda,Alameda,1,1,White,1,Simple Assault,Violent Crimes,Service/Gas Station,Anti-Arab,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,4.0
5414,CA00-0000015356,2004,5,Alameda,Alameda,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Catholic,Religion,Religious,None,Graffiti,4.0
5415,CA00-0000016280,2004,8,Alameda,Alameda,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Catholic,Religion,Religious,None,Graffiti,4.0
5416,CA00-0000016353,2004,12,Alameda,Alameda,1,1,White,1,Simple Assault,Violent Crimes,Grocery/Supermarket,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,4.0
5417,CA00-0000015569,2004,6,Alameda,Albany,1,1,Unknown,0,Intimidation,Violent Crimes,Commercial/Office Building,Anti-Lesbian,Sexual Orientation,Person,None,Threatening letters/flyers/email,4.0
5418,CA00-0000015640,2004,7,Alameda,Albany,1,1,Unknown,0,Intimidation,Violent Crimes,Specialty Store (TV/Fur/etc.),Anti-Lesbian,Sexual Orientation,Person,None,Graffiti,4.0
5419,CA00-0000014997,2004,1,Alameda,Berkeley,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Daubing of swastika,4.0
5420,CA00-0000015359,2004,5,Alameda,Berkeley,3,3,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,4.0
5421,CA00-0000015360,2004,5,Alameda,Berkeley,1,1,Black or African American,1,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,None,Damage to vehicle,4.0
5422,CA00-0000015616,2004,7,Alameda,Berkeley,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,None,Damage to vehicle,4.0
