Agency Name,Total Hate Crime Cases Referred,Total Cases Filed as Hate Crimes,Total Cases Filed as Non-Bias Motivated Crimes,Total Dispositions,Not Convicted,Total Convictions,Total Hate Crime Convictions,Guilty plea/Nolo contendere,Trial Verdict,All Other Convictions
Alameda,167,116,2,86,11,75,24,24,0,51
Alpine,0,0,0,0,0,0,0,0,0,0
Amador,5,5,0,4,0,4,2,2,0,2
Butte,61,34,19,21,2,19,10,9,1,9
Calaveras,4,4,0,4,1,3,0,0,0,3
Colusa,0,0,0,0,0,0,0,0,0,0
ContraCosta,85,80,12,75,25,50,15,14,1,35
DelNorte,11,5,7,7,0,7,4,4,0,3
ElDorado,24,8,8,13,4,9,5,5,0,4
Fresno,56,51,10,39,5,34,16,13,3,18
Glenn,7,7,0,10,0,10,5,5,0,5
Humboldt,48,23,7,10,1,9,4,4,0,5
Imperial,3,1,0,2,0,2,2,2,0,0
Inyo,11,8,2,12,0,12,4,4,0,8
Kern,43,77,7,64,3,61,19,19,0,42
Kings,23,14,7,15,0,15,11,11,0,4
Lake,18,13,7,8,3,5,2,2,0,3
Lassen,5,0,3,3,0,3,0,0,0,3
LosAngeles,1871,1337,176,954,144,810,457,269,188,353
Madera,7,6,1,4,1,3,2,2,0,1
Marin,36,21,13,14,3,11,4,2,2,7
Mariposa,2,1,0,0,0,0,0,0,0,0
Mendocino,53,35,6,28,4,24,9,9,0,15
Merced,8,3,4,3,1,2,1,1,0,1
Modoc,0,0,0,0,0,0,0,0,0,0
Mono,2,1,0,1,0,1,0,0,0,1
Monterey,64,42,14,37,1,36,20,19,1,16
Napa,12,5,3,3,1,2,1,1,0,1
Nevada,12,7,3,2,0,2,2,2,0,0
Orange,371,195,73,191,8,183,152,147,5,31
Placer,37,14,10,9,0,9,3,3,0,6
Plumas,2,2,2,0,0,0,0,0,0,0
Riverside,335,176,103,179,4,175,94,83,11,81
Sacramento,141,74,26,52,1,51,30,28,2,21
SanBenito,0,0,0,0,0,0,0,0,0,0
SanBernardino,118,98,7,79,7,72,14,14,0,58
SanDiego,444,295,79,259,5,254,150,144,6,104
SanFrancisco,403,235,57,141,20,121,76,66,10,45
SanJoaquin,60,52,3,33,3,30,14,13,1,16
SanLuisObispo,77,55,17,31,11,20,14,14,0,6
SanMateo,75,50,1,35,5,30,16,15,1,14
SantaBarbara,51,23,16,14,1,13,8,8,0,5
SantaClara,274,127,74,70,3,67,48,47,1,19
SantaCruz,94,47,28,44,6,38,19,19,0,19
Shasta,123,91,27,68,15,53,22,22,0,31
Sierra,0,0,0,0,0,0,0,0,0,0
Siskiyou,6,6,0,4,2,2,1,1,0,1
Solano,23,20,4,10,3,7,4,4,0,3
Sonoma,46,29,8,30,6,24,12,12,0,12
Stanislaus,23,16,2,15,1,14,4,4,0,10
Sutter,5,3,1,4,0,4,1,1,0,3
Tehama,11,9,1,5,1,4,1,1,0,3
Trinity,0,0,0,0,0,0,0,0,0,0
Tulare,37,27,3,20,4,16,8,7,1,8
Tuolumne,7,4,0,6,0,6,5,5,0,1
Ventura,179,117,36,70,4,66,56,45,11,10
Yolo,89,48,24,44,7,37,19,18,1,18
Yuba,45,37,2,25,1,24,10,9,1,14
