MonthOccurrence,TotalNumberOfVictims,TotalNumberOfIndividualVictims,SuspectsRaceAsAGroup,TotalNumberOfSuspects,MostSeriousUcr,MostSeriousUcrType,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType,MostSeriousVictimType,WeaponType,Offensive_Act,conviction-rate
2,2,2,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Daubing of swastika,0.5149700598802395
3,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,None,Threatening letters/flyers/email,0.5149700598802395
3,1,1,White,1,Simple Assault,Violent Crimes,Service/Gas Station,Anti-Arab,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,0.5149700598802395
5,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Catholic,Religion,Religious,None,Graffiti,0.5149700598802395
8,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Catholic,Religion,Religious,None,Graffiti,0.5149700598802395
12,1,1,White,1,Simple Assault,Violent Crimes,Grocery/Supermarket,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,0.5149700598802395
6,1,1,Unknown,0,Intimidation,Violent Crimes,Commercial/Office Building,Anti-Lesbian,Sexual Orientation,Person,None,Threatening letters/flyers/email,0.5149700598802395
7,1,1,Unknown,0,Intimidation,Violent Crimes,Specialty Store (TV/Fur/etc.),Anti-Lesbian,Sexual Orientation,Person,None,Graffiti,0.5149700598802395
1,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Daubing of swastika,0.5149700598802395
5,3,3,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
5,1,1,Black or African American,1,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,None,Damage to vehicle,0.5149700598802395
7,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,None,Damage to vehicle,0.5149700598802395
7,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Daubing of swastika,0.5149700598802395
9,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
9,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-American Indian/Alaska Native,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,0.5149700598802395
9,1,1,Unknown,0,Intimidation,Violent Crimes,School/college,Anti-Gay (Male),Sexual Orientation,Person,None,Threatening letters/flyers/email,0.5149700598802395
12,1,1,White,1,Intimidation,Violent Crimes,Drug Store/Dr Office/Hospital,Anti-Gay (Male),Sexual Orientation,Person,None,Annoying telephone calls/fax,0.5149700598802395
1,1,1,White,1,Intimidation,Violent Crimes,Grocery/Supermarket,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
2,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Graffiti,0.5149700598802395
3,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Daubing of swastika,0.5149700598802395
9,1,1,East Indian/Asian Indian,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion,Person,None,Verbal slurs,0.5149700598802395
1,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
1,1,1,Hispanic,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Lesbian,Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
5,2,2,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Annoying telephone calls/fax,0.5149700598802395
6,1,1,Black or African American,4,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
10,1,1,Black or African American,4,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
12,1,0,White,1,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Other Religion,Religion,Religious,Knife or other cutting or stabbing instrument,Disturbing public assembly/meeting,0.5149700598802395
4,1,1,White,1,Intimidation,Violent Crimes,Service/Gas Station,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
9,3,3,White,2,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Vehicle,Verbal slurs,0.5149700598802395
12,1,1,Unknown,0,Intimidation,Violent Crimes,Restaurant,Anti-Arab,Race/Ethnicity/Ancestry,Person,None,Annoying telephone calls/fax,0.5149700598802395
7,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,0.5149700598802395
8,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
11,1,1,Hispanic,2,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,0.5149700598802395
6,1,1,Black or African American,4,Aggravated Assault,Violent Crimes,Field/Woods/Park,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
6,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Graffiti,0.5149700598802395
12,1,1,White,2,Intimidation,Violent Crimes,Hotel/Motel/etc.,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Annoying telephone calls/fax,0.5149700598802395
9,7,7,White,3,Simple Assault,Violent Crimes,School/college,Anti-Islamic (Muslim),Religion,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,0.5149700598802395
11,1,1,Asian/Pacific Islander,1,Intimidation,Violent Crimes,School/college,Anti-Gay (Male),Sexual Orientation,Person,None,Threatening letters/flyers/email,0.5149700598802395
5,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Damage to vehicle,0.5149700598802395
8,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Graffiti,0.5149700598802395
8,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Daubing of swastika,0.5149700598802395
8,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Asian,Race/Ethnicity/Ancestry,Government,None,Graffiti,0.5149700598802395
10,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
11,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Catholic,Religion,Religious,"Arson, fire",Graffiti,0.5149700598802395
1,1,1,Hispanic,1,Aggravated Assault,Violent Crimes,Specialty Store (TV/Fur/etc.),Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,0.5149700598802395
4,1,1,Hispanic,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
5,3,3,East Indian/Asian Indian,1,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,Knife or other cutting or stabbing instrument,Verbal slurs,0.5149700598802395
5,2,2,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation,Person,None,Verbal slurs,0.5149700598802395
5,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Lesbian,Sexual Orientation,Person,None,Graffiti,0.5149700598802395
5,1,1,Unknown,0,Intimidation,Violent Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Threatening letters/flyers/email,0.5149700598802395
10,1,1,White,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
11,1,1,Black or African American,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Islamic (Muslim),Religion,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
1,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Asian,Race/Ethnicity/Ancestry,Religious,None,Graffiti,0.5149700598802395
10,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Service/Gas Station,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
10,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
10,2,2,Asian/Pacific Islander,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
3,1,1,Group of Multiple Races,3,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
4,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Commercial/Office Building,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,None,Graffiti,0.5149700598802395
8,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Catholic,Religion,Person,None,Graffiti,0.5149700598802395
10,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Person,None,Graffiti,0.5149700598802395
6,1,0,White,1,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Daubing of swastika,0.5149700598802395
8,1,1,Black or African American,3,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
8,1,1,Black or African American,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
9,2,2,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,None,Verbal slurs,0.5149700598802395
1,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Daubing of swastika,0.5149700598802395
1,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Daubing of swastika,0.5149700598802395
7,1,1,White,1,Intimidation,Violent Crimes,Commercial/Office Building,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,0.5149700598802395
5,2,2,Hispanic,5,Aggravated Assault,Violent Crimes,Field/Woods/Park,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
3,1,1,White,1,Simple Assault,Violent Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
4,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Graffiti,0.5149700598802395
4,1,1,Unknown,0,Intimidation,Violent Crimes,School/college,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,None,Annoying telephone calls/fax,0.5149700598802395
4,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Catholic,Religion,Government,None,Daubing of swastika,0.5149700598802395
5,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Transgender,Gender Nonconforming,Government,None,Daubing of swastika,0.5149700598802395
5,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Government,None,Graffiti,0.5149700598802395
8,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Graffiti,0.5149700598802395
11,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,None,Graffiti,0.5149700598802395
6,1,1,Black or African American,4,Simple Assault,Violent Crimes,School/college,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Other ( bottle, rocks, spitting)",Verbal slurs,0.5149700598802395
6,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Islamic (Muslim),Religion,Person,None,Threatening letters/flyers/email,0.5149700598802395
9,1,1,White,3,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
2,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Other,None,Graffiti,0.5149700598802395
5,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,0.5149700598802395
5,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Grocery/Supermarket,Anti-Islamic (Muslim),Religion,Business,None,Threatening letters/flyers/email,0.5149700598802395
5,2,2,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,0.5149700598802395
8,1,1,Black or African American,1,Intimidation,Violent Crimes,Other/Unknown,Anti-Jewish,Religion,Person,None,Annoying telephone calls/fax,0.5149700598802395
8,1,1,Black or African American,1,Intimidation,Violent Crimes,Commercial/Office Building,Anti-Gay (Male),Sexual Orientation,Person,None,Annoying telephone calls/fax,0.5149700598802395
8,1,1,White,1,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,None,Verbal slurs,0.5149700598802395
