Agency Name,Total Hate Crime Cases Referred,Total Cases Filed as Hate Crimes,Total Cases Filed as Non-Bias Motivated Crimes,Total Dispositions,Not Convicted,Total Convictions,Total Hate Crime Convictions,Guilty plea/Nolo contendere,Trial Verdict,All Other Convictions,County,population,pct_Asian,pct_AAPI,pct_Black,pct_Hispanic,pct_Multi-Racial/Ethnic,pct_Hawaiian/ Pacific Island,pct_White,pct_unemployed_2018,pct_u18_poverty_2017,median_hh_income_2017
Alameda,167,116,2,86,11,75,24,24,0,51,Alameda,1669301.0,0.265962819168023,0.2741303096325947,0.11560347714402615,0.23471800472173682,0.04184685685805017,0.008167490464571698,0.3370674312182165,0.03,0.105,95550.0
Alpine,0,0,0,0,0,0,0,0,0,0,Alpine,1162.0,0.0051635111876075735,0.0051635111876075735,0.0008605851979345956,0.07314974182444062,0.0189328743545611,0.0,0.7142857142857143,0.046,0.353,55755.0
Amador,5,5,0,4,0,4,2,2,0,2,Amador,38294.0,0.011855643181699483,0.013526923277798088,0.026740481537577687,0.1386901342246827,0.026662140283073066,0.0016712800960986054,0.7782420222489163,0.04,0.157,60588.0
Butte,61,34,19,21,2,19,10,9,1,9,Butte,226466.0,0.04477934877641677,0.046872378193636134,0.016187860429380127,0.15829307710649723,0.03886234578258988,0.0020930294172193616,0.7362606307348565,0.049,0.226,48634.0
Calaveras,4,4,0,4,1,3,0,0,0,3,Calaveras,45117.0,0.013054946029212935,0.014628632222887161,0.008223064476804752,0.11334973513309839,0.029257264445774322,0.0015736861936742248,0.8144380167121041,0.04,0.21100000000000002,58536.0
Colusa,0,0,0,0,0,0,0,0,0,0,Colusa,22117.0,0.01211737577429127,0.014965863363023918,0.00750553872586698,0.5975041823032057,0.014016367500113034,0.0028484875887326492,0.38748474024506036,0.129,0.154,53595.0
ContraCosta,85,80,12,75,25,50,15,14,1,35,ContraCosta,1155879.0,0.1525289411780991,0.15706661337389122,0.08983812319455584,0.2550786025180836,0.0393959921410459,0.00453767219579212,0.4581794461184951,0.032,0.11199999999999999,95062.0
DelNorte,11,5,7,7,0,7,4,4,0,3,DelNorte,27401.0,0.03609357322725448,0.037151928761724025,0.032334586328966096,0.1841538629977008,0.03788182913032371,0.001058355534469545,0.637203021787526,0.055,0.33899999999999997,39996.0
ElDorado,24,8,8,13,4,9,5,5,0,4,ElDorado,191848.0,0.038520078395396354,0.039937867478420416,0.0071931946124014845,0.13507568491722613,0.028955214544848003,0.0014177890830240607,0.7722728409991243,0.036000000000000004,0.096,78464.0
Fresno,56,51,10,39,5,34,16,13,3,18,Fresno,1018241.0,0.0960116514656157,0.09720881402339918,0.048674135101611504,0.527763073771337,0.019202723127432503,0.0011971625577834716,0.3037561834575508,0.075,0.28300000000000003,51452.0
Glenn,7,7,0,10,0,10,5,5,0,5,Glenn,29132.0,0.024474804338871343,0.025195661128655775,0.006899629273650968,0.40591102567623233,0.018261705341205546,0.0007208567897844294,0.538377042427571,0.065,0.20800000000000002,49979.0
Humboldt,48,23,7,10,1,9,4,4,0,5,Humboldt,135333.0,0.02394833484811539,0.0265788831992197,0.01190397020682317,0.11196825607944848,0.04436464129221993,0.002630548351104313,0.758684134689987,0.036000000000000004,0.247,46123.0
Imperial,3,1,0,2,0,2,2,2,0,0,Imperial,190266.0,0.012650710058549609,0.013155266836954579,0.024612910346567436,0.8250081464896514,0.005996867543334069,0.0005045567784049699,0.1286094204955168,0.18100000000000002,0.281,43413.0
Inyo,11,8,2,12,0,12,4,4,0,8,Inyo,18593.0,0.013069434733501856,0.013876189963964933,0.006292690797612004,0.2128758134781907,0.026622922605281558,0.0008067552304630775,0.6406174366697144,0.039,0.17600000000000002,53528.0
Kern,43,77,7,64,3,61,19,19,0,42,Kern,916464.0,0.03972223677089334,0.04095960125002182,0.053793711482393196,0.5193875591403481,0.019158417570139145,0.0012373644791284764,0.3613409801148763,0.08,0.29,49904.0
Kings,23,14,7,15,0,15,11,11,0,4,Kings,153710.0,0.03506603343959404,0.03685511677834884,0.0635092056469976,0.5361394834428469,0.023485784919653894,0.001789083338754798,0.34029015678875807,0.077,0.245,55076.0
Lake,18,13,7,8,3,5,2,2,0,3,Lake,65071.0,0.01241720582133362,0.013969356549000323,0.018103302546449263,0.1975380737963148,0.03354797067818229,0.0015521507276667025,0.7142044843324984,0.052000000000000005,0.301,45797.0
Lassen,5,0,3,3,0,3,0,0,0,3,Lassen,30150.0,0.010414593698175788,0.015422885572139304,0.08218905472636816,0.1782089552238806,0.0272636815920398,0.005008291873963516,0.6824875621890547,0.048,0.18,58776.0
LosAngeles,1871,1337,176,954,144,810,457,269,188,353,LosAngeles,10253716.0,0.13608500567013948,0.13848384332080194,0.08117593660678724,0.49879877695071717,0.020797338252785624,0.0023988376506624523,0.2656761704732216,0.047,0.209,64912.0
Madera,7,6,1,4,1,3,2,2,0,1,Madera,159536.0,0.01745060675960285,0.0181526426637248,0.03141610670945743,0.5772615585197072,0.015388376291244609,0.0007020359041219537,0.3507985658409387,0.07,0.28600000000000003,50783.0
Marin,36,21,13,14,3,11,4,2,2,7,Marin,262879.0,0.05904237310701882,0.06078842357130086,0.026730929439019474,0.1702342142202306,0.029306258773047676,0.001746050464282046,0.7097828278409458,0.024,0.08199999999999999,112735.0
Mariposa,2,1,0,0,0,0,0,0,0,0,Mariposa,18068.0,0.012342262563648438,0.014002656630506973,0.007637812707549259,0.10216958158069515,0.030551250830197035,0.0016603940668585345,0.8117666592871374,0.053,0.212,52387.0
Mendocino,53,35,6,28,4,24,9,9,0,15,Mendocino,89009.0,0.016796054331584445,0.017897066588771923,0.0068757091979462755,0.2491770495118471,0.02982844431461987,0.0011010122571874755,0.6602141356492041,0.039,0.228,50453.0
Merced,8,3,4,3,1,2,1,1,0,1,Merced,282928.0,0.07345331674489623,0.07543968783577447,0.034188910252785164,0.5763621840185489,0.017958632584968614,0.001986371090878245,0.2964959282927105,0.083,0.337,48036.0
Modoc,0,0,0,0,0,0,0,0,0,0,Modoc,9602.0,0.007706727765048948,0.009997917100604041,0.007810872734846907,0.14955217662986878,0.024786502811914184,0.0022911893355550927,0.7701520516559051,0.076,0.297,40970.0
Mono,2,1,0,1,0,1,0,0,0,1,Mono,13616.0,0.014835487661574618,0.015716803760282023,0.0031580493537015277,0.2956081081081081,0.018727967097532314,0.0008813160987074031,0.6772914218566393,0.038,0.126,60318.0
Monterey,64,42,14,37,1,36,20,19,1,16,Monterey,445414.0,0.05438535834077959,0.05874085682084532,0.025203518524339153,0.589563866425393,0.02266655291481633,0.0043554984800657365,0.30521492364407043,0.063,0.162,70294.0
Napa,12,5,3,3,1,2,1,1,0,1,Napa,140779.0,0.07035140184260437,0.07271681145625412,0.018035360387557802,0.35259520240945025,0.022169499712315046,0.002365409613649763,0.5328493596346046,0.028999999999999998,0.086,83881.0
Nevada,12,7,3,2,0,2,2,2,0,0,Nevada,98904.0,0.012254307206988595,0.013326053546873736,0.00413532314163229,0.0979434603251638,0.02654088813394807,0.0010717463398851412,0.851381137264418,0.035,0.14400000000000002,64901.0
Orange,371,195,73,191,8,183,152,147,5,31,Orange,3222498.0,0.18300306160003824,0.18589367627225836,0.015308000191156053,0.3560582504628397,0.026088456843107427,0.0028906146722201226,0.41899172629432196,0.028999999999999998,0.157,86031.0
Placer,37,14,10,9,0,9,3,3,0,6,Placer,396691.0,0.06500021427256983,0.06704210582039925,0.012952146633021671,0.13535220108346294,0.0307014779765611,0.0020418915478294187,0.741176381616926,0.031,0.07200000000000001,81366.0
Plumas,2,2,2,0,0,0,0,0,0,0,Plumas,19779.0,0.00717933161433844,0.008089387734465847,0.009606147934678195,0.08883158905910309,0.03139693614439557,0.0009100561201274078,0.8246625208554528,0.075,0.22,51756.0
Riverside,335,176,103,179,4,175,94,83,11,81,Riverside,2440124.0,0.060844448888663034,0.0636049643378779,0.060165385037809556,0.47627005840686787,0.022656635482459088,0.002760515449214876,0.378907793210509,0.044000000000000004,0.162,63776.0
Sacramento,141,74,26,52,1,51,30,28,2,21,Sacramento,1546174.0,0.14479870958895957,0.15483056887517188,0.1001271525714441,0.23081878236214035,0.04586547180330286,0.010031859286212289,0.4673594304392649,0.038,0.182,62959.0
SanBenito,0,0,0,0,0,0,0,0,0,0,SanBenito,62296.0,0.025683832027738537,0.027032233209194814,0.007448311288044176,0.569105560549634,0.016630281237960703,0.0013484011814562733,0.36742326955181714,0.051,0.11900000000000001,77200.0
SanBernardino,118,98,7,79,7,72,14,14,0,58,SanBernardino,2192203.0,0.06294125133484445,0.0658821286167385,0.08443880425307328,0.5136048075839692,0.022306328382909794,0.002940877281894058,0.3134066507526903,0.04,0.23,60270.0
SanDiego,444,295,79,259,5,254,150,144,6,104,SanDiego,3351786.0,0.1074570393217228,0.11188572301453613,0.04820653824558012,0.3428390117984859,0.032422714337967874,0.004428683692813324,0.4647244782333956,0.033,0.157,76048.0
SanFrancisco,403,235,57,141,20,121,76,66,10,45,SanFrancisco,883869.0,0.3218395486208929,0.32573492225657874,0.052775920413545445,0.15469826410927412,0.03584128417220199,0.0038953736356858314,0.44152470558419854,0.024,0.12300000000000001,109601.0
SanJoaquin,60,52,3,33,3,30,14,13,1,16,SanJoaquin,770385.0,0.14161880098911583,0.14656827430440625,0.07320495596357665,0.40610993204696355,0.033492344736722544,0.004949473315290407,0.33539334228989404,0.06,0.21600000000000003,60950.0
SanLuisObispo,77,55,17,31,11,20,14,14,0,6,SanLuisObispo,280393.0,0.03198368004907398,0.03332108861490836,0.018809314069894754,0.2270848416329937,0.023912865157118757,0.0013374085658343824,0.6939081931431954,0.028999999999999998,0.12300000000000001,70634.0
SanMateo,75,50,1,35,5,30,16,15,1,14,SanMateo,774485.0,0.25428768794747475,0.26873987230223956,0.02561573174432042,0.26312840145386934,0.03575537292523419,0.01445218435476478,0.41204800609437237,0.022000000000000002,0.07,115908.0
SantaBarbara,51,23,16,14,1,13,8,8,0,5,SantaBarbara,454593.0,0.04782739725424721,0.049587213177501636,0.017424377410122902,0.4616327132181974,0.02216928109319765,0.0017598159232544276,0.4491468192427072,0.039,0.174,70651.0
SantaClara,274,127,74,70,3,67,48,47,1,19,SantaClara,1954286.0,0.3318214427161634,0.3354109889750016,0.023981648540694657,0.27680493029167685,0.03229312393375381,0.0035895462588382662,0.3405704180452605,0.026000000000000002,0.081,118468.0
SantaCruz,94,47,28,44,6,38,19,19,0,19,SantaCruz,274871.0,0.04249993633377112,0.04368958529637539,0.009146108538187004,0.35065176028027695,0.027627505266106647,0.0011896489626042762,0.572937850846397,0.049,0.13699999999999998,76633.0
Shasta,123,91,27,68,15,53,22,22,0,31,Shasta,178773.0,0.027420248024030473,0.028902574773595566,0.009408579595352766,0.09447735396284673,0.03581077679515363,0.001482326749565091,0.8073702404725546,0.049,0.22899999999999998,51207.0
Sierra,0,0,0,0,0,0,0,0,0,0,Sierra,3213.0,0.004357298474945534,0.005291005291005291,0.0018674136321195146,0.08839091192032368,0.02054154995331466,0.0009337068160597573,0.8487394957983193,0.06,0.20199999999999999,49495.0
Siskiyou,6,6,0,4,2,2,1,1,0,1,Siskiyou,44584.0,0.013390453974520006,0.015162390095101381,0.012403552844069621,0.1182262695137269,0.04371523416472277,0.0017719361205813745,0.7639960523954782,0.067,0.257,44013.0
Solano,23,20,4,10,3,7,4,4,0,3,Solano,441307.0,0.1430228842959663,0.1511124908510402,0.1414026969887176,0.26148463541253597,0.05374036668351057,0.008089606555073906,0.39498806952982846,0.039,0.14,75931.0
